experiment_id,model finetune,phase,backbone,temp,backbone_lr,proj_lr,class_lr,batch_size,loss,Crop scale,Balanced Sampling,Head type,Crop type,notes
P0_Base_ResNet50_1e-3_t1,Base_ResNet50_1e-3_t1_baseline_best.pt,0_backbone,ResNet50,0.07,1e-03,3e-4,3e-4,32,Cross-Entropy,0.6,,Linear,Random,Baseline for Resnet
P0_Base_GastroSimCLR_1e-3_t1,Base_GastroSimCLR_1e-3_t1_baseline_best.pt,0_backbone,RN50 GastroSimCLR,0.07,1e-03,3e-4,3e-4,32,Cross-Entropy,0.6,,Linear,Random,Baseline for GastroSimCLR
P0_Base_GastronetDinoV2_1e-3_t1,Base_GastronetDinoV2_1e-3_t1_baseline_best.pt,0_backbone,ViT GastroNet DINOv2,0.07,1e-03,3e-4,3e-4,32,Cross-Entropy,0.6,,Linear,Random,Baseline for Gastronet DINOv2
P0_Base_GastroMoCO_1e-3_t1,Base_GastroMoCO_1e-3_t1_baseline_best.pt,0_backbone,RN50 GastroMoCO,0.07,1e-03,3e-4,3e-4,32,Cross-Entropy,0.6,,Linear,Random,Baseline for GastroMoCo
P0_Base_DinoV3_1e-3_t1,Base_DinoV3_1e-3_t1_baseline_best.pt,0_backbone,ViT DINOv3,0.07,1e-03,3e-4,3e-4,32,Cross-Entropy,0.6,,Linear,Random,Baseline for DINOv3
P1_BB_GastronetDinoV2_t1,P1_BB_GastronetDinoV2_t1_finetune_best.pt,1_backbone,ViT GastroNet DINOv2,0.07,1e-05,3e-4,3e-4,32,SupPro,0.6,,Linear,Random,Base
P1_BB_DinoV3_t1,P1_BB_DinoV3_t1_finetune_best.pt,1_backbone,ViT DINOv3,0.07,1e-05,3e-4,3e-4,32,SupPro,0.6,,Linear,Random,
P1_BB_GastroMoCO_t1,P1_BB_GastroMoCO_t1_finetune_best.pt,1_backbone,RN50 GastroMoCO,0.07,1e-05,3e-4,3e-4,32,SupPro,0.6,,Linear,Random,
P1_BB_GastroSimCLR_t1,P1_BB_GastroSimCLR_t1_finetune_best.pt,1_backbone,RN50 GastroSimCLR,0.07,1e-05,3e-4,3e-4,32,SupPro,0.6,,Linear,Random,
P1_BB_ResNet50_t1,P1_BB_ResNet50_t1_finetune_best.pt,1_backbone,ResNet50,0.07,1e-05,3e-4,3e-4,32,SupPro,0.6,,Linear,Random,
P2_Temp_0.07_t1,P2_Temp_0.07_t1_finetune_best.pt,2_temperature,ViT GastroNet DINOv2,0.07,1e-05,3e-4,3e-4,32,SupPro,0.6,,Linear,Random,
P2_Temp_0.1_t1,P2_Temp_0.1_t1_finetune_best.pt,2_temperature,ViT GastroNet DINOv2,0.1,1e-05,3e-4,3e-4,32,SupPro,0.6,,Linear,Random,Base
P2_Temp_0.3_t1,P2_Temp_0.3_t1_finetune_best.pt,2_temperature,ViT GastroNet DINOv2,0.3,1e-05,3e-4,3e-4,32,SupPro,0.6,,Linear,Random,
P2_Temp_0.5_t1,P2_Temp_0.5_t1_finetune_best.pt,2_temperature,ViT GastroNet DINOv2,0.5,1e-05,3e-4,3e-4,32,SupPro,0.6,,Linear,Random,Base
P3_BBLR_1e-5_t1,P3_BBLR_1e-5_t1_finetune_best.pt,3a_backbone_lr,ViT GastroNet DINOv2,0.1,1e-05,3e-4,3e-4,32,SupPro,0.6,,Linear,Random,
P3_BBLR_1e-6_t1,P3_BBLR_1e-6_t1_finetune_best.pt,3a_backbone_lr,ViT GastroNet DINOv2,0.1,1e-06,3e-4,3e-4,32,SupPro,0.6,,Linear,Random,
P3_BBLR_1e-4_t1,P3_BBLR_1e-4_t1_finetune_best.pt,3a_backbone_lr,ViT GastroNet DINOv2,0.1,1e-4,3e-4,3e-4,32,SupPro,0.6,,Linear,Random,
P3_BBLR_1e-7_t1,P3_BBLR_1e-7_t1_finetune_best.pt,3a_backbone_lr,ViT GastroNet DINOv2,0.1,1e-7,3e-4,3e-4,32,SupPro,0.6,,Linear,Random,
P3_BBLR_1e-3_t1,P3_BBLR_1e-3_t1_finetune_best.pt,3a_backbone_lr,ViT GastroNet DINOv2,0.1,1e-3,3e-4,3e-4,32,SupPro,0.6,,Linear,Random,
P3_ProjLR_3e-4_t1,P3_ProjLR_3e-4_t1_finetune_best.pt,3b_proj_lr,ViT GastroNet DINOv2,0.1,1e-05,3e-4,3e-4,32,SupPro,0.6,,Linear,Random,
P3_ProjLR_3e-5_t1,P3_ProjLR_3e-5_t1_finetune_best.pt,3b_proj_lr,ViT GastroNet DINOv2,0.1,1e-05,3e-5,3e-4,32,SupPro,0.6,,Linear,Random,
P3_ProjLR_3e-3_t1,P3_ProjLR_3e-3_t1_finetune_best.pt,3b_proj_lr,ViT GastroNet DINOv2,0.1,1e-05,3e-3,3e-4,32,SupPro,0.6,,Linear,Random,Base
P3_ClassLR_3e-2_t1,P3_ClassLR_3e-2_t1_finetune_best.pt,3c_class_lr,ViT GastroNet DINOv2,0.1,1e-05,3e-4,3e-2,32,SupPro,0.6,,Linear,Random,Base
P3_ClassLR_3e-5_t1,P3_ClassLR_3e-5_t1_finetune_best.pt,3c_class_lr,ViT GastroNet DINOv2,0.1,1e-05,3e-4,3e-5,32,SupPro,0.6,,Linear,Random,
P3_ClassLR_3e-3_t1,P3_ClassLR_3e-3_t1_finetune_best.pt,3c_class_lr,ViT GastroNet DINOv2,0.1,1e-05,3e-4,3e-3,32,SupPro,0.6,,Linear,Random,
P3_ClassLR_3e-6_t1,P3_ClassLR_3e-6_t1_finetune_best.pt,3c_class_lr,ViT GastroNet DINOv2,0.1,1e-05,3e-4,3e-6,32,SupPro,0.6,,Linear,Random,
P3_ClassLR_3e-4_t1,P3_ClassLR_3e-4_t1_finetune_best.pt,3c_class_lr,ViT GastroNet DINOv2,0.1,1e-05,3e-4,3e-4,32,SupPro,0.6,,Linear,Random,
P4_Batch_32_t1,P4_Batch_32_t1_finetune_best.pt,4_batch_size,ViT GastroNet DINOv2,0.1,1e-05,3e-4,3e-4,32,SupPro,0.6,,Linear,Random,
P4_Batch_4_t1,P4_Batch_4_t1_finetune_best.pt,4_batch_size,ViT GastroNet DINOv2,0.1,1e-05,3e-4,3e-4,4,SupPro,0.6,,Linear,Random,
